Plant,SeedCount
1746,1790
1746,1740
1746,1751
1746,1671
1746,1479
1746,1819
1746,1706
1746,1731
1746,1872
1746,1710
1746,1462
1746,1569
1746,1897
1746,1757
1746,1839
1746,1373
1746,1836
1746,1728
1746,1377
1746,1378
1746,1569
1746,1835
1746,1551
1746,1441
1746,1526
1746,1490
1746,1488
1746,1501
1746,1917
1746,1504
1746,1681
1746,1506
1746,1702
1746,1459
1746,1501
1746,1508
1746,1696
1746,1494
1746,1914
1746,1900
1746,1678
1746,1509
1746,1949
1746,1446
1746,1494
1746,1692
1746,1439
1746,1607
1746,1438
1746,1801
1748,1644
1748,2136
1748,1420
1748,1890
1748,2160
1748,1870
1748,1884
1748,1650
1748,2169
1748,1635
1748,1870
1748,1877
1748,2168
1748,1453
1748,1886
1748,1890
1748,2132
1748,2150
1748,1874
